"","date","id","content"
"335",2013-06-07,"다큰애(acin****)","후아, 눈물을 주체할 수가 없다. 간단한 플롯임에도 하고싶은 이야기를 다 녹여낸 극본과, 관객을 쥐락펴락 하는 주연 세명의 연기, 그리고 적절한 위트와 긴장감, 감정을 끌어올리는 연출솜씨는 기립박수 감이다. 우리도 저런 대통령을 한분 모시고 있었지."
"336",2013-09-22,"whan****","진짜 다시봐도 또 봐도 나중에 봐도 소름돋고 흥분시키는 영화!"
"337",2013-09-22,"딸딸련(wpru****)","2012년 최고의영화였음 감동과재미 이병헌의 연기력에 박수를 보냅니다"
"338",2013-09-22,"무뚜(somi****)","1인2역을하는데도 완벽한연기로혼란이오지않았어요 최고입니다"
"339",2013-09-22,"드림라이너(bjp8****)","고루한 사극에 현대식 유머를 더하다. 최고의 몰입도."
"340",2013-06-25,"tjra****","이제껏 본 한국영화중 개인적으로 가장 좋았던 영화~~~~~~~"
"341",2013-06-24,"야큔(dktm****)","이제야 봤는데 과연 천만영화의 가치가 있군요"
"342",2013-06-13,"인샤벨(saqu****)","오늘 처음봤는데 정말2시간이 시간 가는줄 모르게 빠져들었습니다 한창 흥할때는 재미없는 영환줄 알았는데 이렇게 뒤늦게 이 명작을 보다니 ㅜ"
"343",2013-07-18,"unky****","엄청난 극찬에 기대를 품고 보게된 영화. 전체적으로 무난한 괜찮은 영화이긴 하지만 기대만큼은 아니었음. 그래도 소소한 웃음거리, 부패한 정치판에 대한 신랄한 풍자, 적절한 감동이 조화를 이루어 볼만한 영화였다. 개인적으로 마지막장면이 압권이었다!"
"344",2013-09-22,"서윤맘(dh35****)","이병헌 진짜 짱입니다~~다시 봐도 눈물 또나네~~진짜 연기 잘하는 배우!!멋지다~~~^^"
"345",2013-09-22,"로뎀나무(jujy****)","최고!! 말이 필요없는... 자랑하고픈 영화"
"346",2013-09-22,"화이(anfq****)","두번봐도 울수밖에없는영화"
"347",2013-09-22,"또막또막(dhhi****)","""나에겐 사대의 예보다 내 백성들의 목숨이 백곱절 천곱절 더 중요하단 말이오!"""
"348",2013-09-22,"꿇어라(jaeh****)","추석특선영화중 단언컨대 광해는 가장 좋은 작품입니다"
"349",2013-07-23,"문어너구리(jsn0****)","꽤 괜찮은 모범적인대중영화"
"350",2013-07-21,"kimj****","사극을 좋아하지 않는 사람이라도 반드시 한번은 봐야한다"
"351",2013-07-08,"총알한발(rlar****)","정말 멋진 영화네요... 김인권이라는 배우가 멋있게 느껴지기는 처음입니다."
"352",2013-07-01,"간짜장(dent****)","아름다운 영화"
"353",2013-06-07,"sel6****","가짜왕이 진정한 백성의 왕이네... 굿입니다."
"354",2013-09-22,"쥬냑(joon****)","개인적으로 이정도면 역대 대한민국 최고의 영화라 생각한다"
"355",2013-09-22,"josa****","사흘만 세상을 볼수있다면, 첫째날은 광해를 보고싶다. 둘째날은 피에타를 보리라. 셋째날은 김기덕의 볼기를 때리고싶다. 단언컨대 광해는 최고의 작품입니다"
"356",2013-09-22,"sona****","좋았다 한국영화 수준 굿"
"357",2013-09-22,"문라이트(bini****)","15일 동안 비었던 승정원 일기를 그렇게 상상해내신감독님이 참 대단하시다는 생각이 듭니다. 그리고 배우 이병헌 씨의 1인 2역 연기가 어색함이 전혀 없었습니다. 이런 영화를 보게 해주셔서 감사합니다."
"358",2013-09-22,"닭꼬치사장(flag****)","몇번을 봐도 울컥하게 만드는 영화"
"359",2013-06-06,"wh83****","아 재밌네거참ㅎㅎㅎ 오랫만에끝나는게 미치도록아<U+009A>Z더라"
"360",2013-09-22,"1023****","이병헌 연기력이 돋보이는 내용있는 영화"
"361",2013-09-22,"love erin(mi73****)","참 감동적,,,,,부끄러운줄 아시오~~~멋지다,,,,,,"
"362",2013-09-22,"쉿(vydv****)","이병헌 관심도 없었는데,,, 광해보니 어쩜 연기를 이렇게 멋지게 잘함 ,,, 향후 누가 광해군 역할을 하더라도 [광해=이병헌] 이라는 틀을 넘어서기 힘들듯,,,"
